x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045623762253e-27
0.185,0.005,0,1.02045623762253e-27
0.195,0.005,0,1.02047052399557e-27
0.205,0.005,0,1.02047052399557e-27
0.215,0.005,0,1.02077461965029e-27
0.225,0.005,0,1.02077461965029e-27
0.235,0.005,0,1.02693408734111e-27
0.245,0.005,0,1.02693408734111e-27
0.255,0.005,0,1.14334659806034e-27
0.265,0.005,0,1.14334659806034e-27
0.275,0.005,0,3.42214759353145e-27
0.285,0.005,0,3.42214759353145e-27
0.295,0.005,0,6.21001185818342e-26
0.305,0.005,0,6.21001185818342e-26
0.315,0.005,0,1.84061446385381e-24
0.325,0.005,0,1.84061446385381e-24
0.335,0.005,0,6.61397640363779e-23
0.345,0.005,0,6.61397640363779e-23
0.355,0.005,0,2.28635236407814e-21
0.365,0.005,0,2.28635236407814e-21
0.375,0.005,0,6.64178993103691e-20
0.385,0.005,0,6.64178993103691e-20
0.395,0.005,0,1.32294365491613e-18
0.405,0.005,0,1.32294365491613e-18
0.415,0.005,0,1.10138139770955e-17
0.425,0.005,0,1.10138139770955e-17
0.435,0.005,0,5.32723645891632e-17
0.445,0.005,0,5.32723645891632e-17
0.455,0.005,0,8.82217516399874e-17
0.465,0.005,0,8.82217516399874e-17
0.475,0.005,0,9.64073943918081e-17
0.485,0.005,0,9.64073943918081e-17
0.495,0.005,0,9.83945166316458e-17
0.505,0.005,0,9.83945166316458e-17
0.515,0.005,0,9.16186225577897e-17
0.525,0.005,0,9.16186225577897e-17
0.535,0.005,0,9.11394882196731e-17
0.545,0.005,0,9.11394882196731e-17
0.555,0.005,0,7.18074131307339e-17
0.565,0.005,0,7.18074131307339e-17
0.575,0.005,0,5.20444712354501e-17
0.585,0.005,0,5.20444712354501e-17
0.595,0.005,0,3.65153980361935e-17
0.605,0.005,0,3.65153980361935e-17
0.615,0.005,0,2.56725001034214e-17
0.625,0.005,0,2.56725001034214e-17
