t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
0,111253.84736,105372.61708,0,0,0,0,0,0,0,0,0,0
600,111253.84736,105372.61708,0,0,2.53355937423618e-29,5.48951285753218e-30,0,0,1.707698007954e-29,3.95825367001322e-30,0,9.25858692771851e-29
1200,111461.2417408,105454.1131432,0,0,2.53355937423618e-29,5.48951285753218e-30,0,0,1.707698007954e-29,3.95825367001322e-30,0,3.05114229944188e-16
1800,111462.5517452,105455.009462,0,0,4.56965111528719e-20,5.18213677722122e-27,0,0,1.70776946051223e-29,3.95825367751685e-30,0,0.000156467314037239
2400,111463.1722736,105455.3542,1.95747202663371e-05,0,3.21037812650458e-05,3.51823892814079e-07,0,0,2.26429853443252e-23,4.05707117012333e-24,0,0.000354410573633789
3000,111464.3443828,105456.2505188,7.57518031312667e-05,0,0.00014352997132264,3.22558720694683e-06,0,0,2.99929362911809e-21,1.44921654503032e-21,0,0.000544002309640665
3600,111463.1722736,105455.4231476,0.000134680804709166,0,0.000259168606054671,8.06833218058745e-06,0,0,4.00720028488528e-20,2.27080238744416e-20,0,0.000734374244607859
4200,111469.998086,105459.9047416,0.000214145061966451,0,0.00035186196984381,1.63567470989907e-05,0,0,3.87460265922293e-19,2.35594454615681e-19,0,0.000923038567790099
4800,111468.0675532,105458.5947372,0.000314080588358756,0,0.000408914993337747,2.90672638041501e-05,0,0,4.46900886557697e-18,2.82638985140217e-18,0,0.0010984118375652
5400,111468.7570292,105459.835794,0.000445696529272743,0,0.000465226245049959,3.7448756644066e-05,0,0,3.59231804049174e-17,2.2761166064076e-17,0,0.00130655703181423
6000,111465.2407016,105457.6294708,0.000618608223456745,0,0.00046063173289219,5.00142936026174e-05,0,0,3.72382733647441e-16,2.29741265072361e-16,0,0.00149978793361958
6600,111467.929658,105460.0426368,0.000631626393411417,0,0.000564923075954307,5.96081465660093e-05,0,0,4.01667694499283e-15,2.35331602393705e-15,0,0.00164841744772465
7200,111465.516492,105457.9052612,0.000794205187302032,0,0.000602705993058384,6.13940517368547e-05,0,0,6.78458359833678e-15,3.90773495661018e-15,0,0.00186654291723747
7800,111467.6538676,105459.9047416,0.00093280260277214,0,0.000611956713954292,6.86989140208578e-05,0,0,3.51543506767759e-14,1.8700827423292e-14,0,0.00204791451618521
8400,111463.448064,105456.043676,0.00106162588375607,0,0.000628658042613191,7.53435926631349e-05,0,0,1.19379591779342e-13,5.25606156153948e-14,0,0.0022325551014186
9000,111465.171754,105457.767366,0.00106560763667273,2.6587543816179e-06,0.000723226754958117,7.64987362103414e-05,0,0,2.8645984080696e-13,9.48039494541935e-14,0,0.00238668980741187
9600,111468.274396,105460.3873748,0.00121478348219005,0,0.000765265260663028,7.98928439966253e-05,0,0,3.46903203702038e-13,1.06562967229825e-13,0,0.00268361381148149
10200,111468.5501864,105460.7321128,0.00130427874919907,0,0.000808976623868986,8.12078951553665e-05,0,0,8.21335150757811e-13,1.77472938920837e-13,0,0.00304397479866388
10800,111468.963872,105461.0079032,0.00145450486822315,0,0.00080966702087443,8.66335945354983e-05,0,0,1.40130704129442e-12,2.36937349381978e-13,0,0.00341464446469021
11400,111466.6196536,105459.9047416,0.00156824941247873,0,0.000821860418202839,9.02634612129986e-05,0,0,2.68699085459543e-12,3.17809009372727e-13,0,0.00377855168875063
12000,111463.9306972,105456.5263092,0.00157522379562921,0,0.000899878446399512,9.09947809761545e-05,0,0,4.54350709183991e-12,3.89773371976638e-13,0,0.00411955618115234
12600,111473.100728,105463.97265,0.00163743079397957,8.54813998782304e-07,0.000976417716464915,0.000110681484943326,0,0,4.97290845722723e-12,4.05460496783881e-13,0.0928983947166892,0.004478626370528
13200,111473.6523088,105477.8311176,0.00177448248424059,4.78094151575227e-07,0.001009460801542,0.00011107351648045,0,0,7.18253302050893e-12,4.61542576671327e-13,0.170290935502177,0.00487342814346167
13800,111463.5859592,105473.3495236,0.00190058774991803,0,0.000998176800975616,0.000113738998812823,0,0,1.27773910205603e-11,5.43017712041767e-13,0.263242814826997,0.00524497187800001
14400,111456.9669896,105474.0389996,0.00203296492925761,0,0.000990274808707284,0.000118546017342331,0,0,3.20574530586094e-11,6.28305665301655e-13,0.358369711081549,0.00560527768761425
15000,111463.9996448,106000.6607684,0.0021086471926631,0,0.00102687502458034,0.000119848239287066,0,0,1.19838782135774e-10,7.01595264980968e-13,0.412052490863579,0.00595233027708717
15600,111464.2754352,105455.698938,0.00211636365223604,1.48125458544798e-05,0.00109472991738433,0.00012025737580731,0,0,3.00575372555389e-10,7.48452306227746e-13,0.415466950326218,0.00629946331699129
16200,111468.3433436,105459.491056,0.00227666355640528,0,0.001129603473303,0.000120478295304378,0,0,4.96369884093323e-10,7.80459429270356e-13,0.82041084424469,0.00668120952945056
16800,111443.0395744,105434.5320248,0.00236252932011945,0,0.00115239111595403,0.000121907568389063,0,0,1.7285441367575e-09,8.67152725590833e-13,1.00866105615822,0.00704030159959362
17400,111475.2381036,105465.8342352,0.00242911715830653,0,0.00117556055018373,0.000125718865303543,0,0,4.6638790724329e-09,9.40407699904152e-13,0.906090665968343,0.00739375093813713
18000,111455.6569852,105447.7010164,0.00247604258550793,0,0.00118554589189452,0.000127533512051525,0,0,9.1737636959587e-09,1.00594493638402e-12,0.974404009383884,0.00773048999914695
18600,111461.2417408,105454.319986,0.0025086095809834,0,0.00119572168225914,0.000128595194037711,0,0,1.84979297979611e-08,1.06811380571781e-12,1.02153071774218,0.00808450697404272
19200,111461.6554264,105455.4231476,0.00242929874714617,0,0.0012895810167103,0.000128866514842329,1.06678218276291e-06,0,9.71202353714989e-06,1.12500832716372e-12,0.896027581227199,0.00838013505037443
19800,111463.7238544,105457.3536804,0.00238830955621268,0,0.00128711733175733,0.000127278610791255,2.89930342856307e-06,0,2.81328197066584e-05,1.14736571599092e-12,0.828100609611639,0.00838482732072289
20400,111460.345422,105453.0099816,0.00236493001646284,0,0.00128905261097853,0.000126689565593729,0,2.17366487249186e-06,3.2832486409533e-05,1.15697314282242e-12,0.789407055710991,0.0083838851020088
21000,111459.9317364,105452.8720864,0.00234903126958151,0,0.00129270809767754,0.000126356360087194,0,1.19313128834842e-06,3.31427271850931e-05,1.16201848818709e-12,0.763746336567279,0.00838246952818539
21600,111461.6554264,105454.0441956,0.00233686866249981,0,0.0012968383394616,0.000126173763097086,0,2.59003642321786e-07,3.15670739779507e-05,1.16625698300306e-12,0.744199237208964,0.00837968632475239
22200,111462.6206928,105455.5610428,0.00232697963441786,0,0.00130093529430121,0.000126068316440328,0,0,2.8700129890547e-05,1.170338394612e-12,0.728835645114529,0.00837648792856356
22800,111457.7254132,105448.9420732,0.00231827494201922,0,0.00130518870938798,0.000126014940841613,0,0,2.56040252401675e-05,1.17417131045681e-12,0.715521740078145,0.00837487044035311
23400,111465.9301776,105457.1468376,0.00231016355540895,0,0.00130976666980374,0.000126036796519527,0,0,2.29396031147463e-05,1.18046165229015e-12,0.703470995515537,0.00837169424294332
